"Artist","Genres"
"TheLumineers","modern rock"
"TheLumineers","pop"
"TheLumineers","stomp and holler"
"fun.","baroque pop"
"fun.","metropopolis"
"fun.","modern rock"
"fun.","pop"
"fun.","pop rock"
"Sigma","dance pop"
"Sigma","drum and bass"
"Sigma","edm"
"Sigma","house"
"Sigma","liquid funk"
"Sigma","pop dance"
"Sigma","tropical house"
"Sigma","uk dance"
"BillieEilish","electropop"
"BillieEilish","pop"
"Rammstein","alternative metal"
"Rammstein","german metal"
"Rammstein","industrial"
"Rammstein","industrial metal"
"Rammstein","industrial rock"
"Rammstein","neue deutsche harte"
"Rammstein","nu metal"
"Drake","canadian hip hop"
"Drake","canadian pop"
"Drake","hip hop"
"Drake","pop rap"
"Drake","rap"
"Drake","toronto rap"
"Headhunterz","classic hardstyle"
"Headhunterz","edm"
"Headhunterz","euphoric hardstyle"
"Headhunterz","melbourne bounce international"
"Headhunterz","pop dance"
"Headhunterz","rawstyle"
"Jakey","meme rap"
"MarkBreeze","bouncy house"
"Halogen","meme rap"
"ANGELZ","bass house"
"ANGELZ","electro house"
"Kygo","edm"
"Kygo","pop"
"Kygo","pop dance"
"Kygo","tropical house"
"Hyper","gaming edm"
"Hyper","kawaii future bass"
"Hyper","otacore"
"Hyper","speedrun"
"Hyper","vgm remix"
"RoddyRicch","melodic rap"
"RoddyRicch","rap"
"RoddyRicch","trap"
"AlStorm","british power metal"
"AlStorm","comic"
"AlStorm","comic metal"
"AlStorm","metal"
"AlStorm","pirate"
"AlStorm","power metal"
"AlStorm","scottish metal"
"BROCKHAMPTON","boy band"
"BROCKHAMPTON","hip hop"
"BROCKHAMPTON","rap"
"BROCKHAMPTON","underground hip hop"
"TsukoG.","antiviral pop"
"TsukoG.","eurobeat"
"TsukoG.","otacore"
"TheWeeknd","canadian contemporary r&b"
"TheWeeknd","canadian pop"
"TheWeeknd","pop"
"WarrenG","g funk"
"WarrenG","gangster rap"
"WarrenG","hardcore hip hop"
"WarrenG","hip hop"
"WarrenG","pop rap"
"WarrenG","rap"
"WarrenG","west coast rap"
"GlassAnimals","gauze pop"
"GlassAnimals","indietronica"
"GlassAnimals","shiver pop"
"Format:B","deep euro house"
"Format:B","german tech house"
"Format:B","german techno"
"Format:B","minimal techno"
"Format:B","tech house"
"112","atl hip hop"
"112","boy band"
"112","dance pop"
"112","gangster rap"
"112","hip pop"
"112","new jack swing"
"112","pop rap"
"112","r&b"
"112","rap"
"112","southern hip hop"
"112","urban contemporary"
"VIZE","dance pop"
"VIZE","german dance"
"VIZE","pop dance"
"VIZE","slap house"
"VIZE","tropical house"
"NitroFun","complextro"
"NitroFun","edm"
"NitroFun","electro house"
"NitroFun","gaming edm"
"NitroFun","speedrun"
"ChocolatePuma","bass house"
"ChocolatePuma","deep groove house"
"ChocolatePuma","disco house"
"ChocolatePuma","dutch edm"
"ChocolatePuma","edm"
"ChocolatePuma","electro house"
"ChocolatePuma","house"
"ChocolatePuma","pop dance"
"ChocolatePuma","progressive electro house"
"ChocolatePuma","progressive house"
"ChocolatePuma","vocal house"
"EudóxiaDeBarros","Unknown"
"Skepta","birmingham grime"
"Skepta","grime"
"Skepta","instrumental grime"
"Skepta","rap"
"Tobi","alternative r&b"
"Tobi","chicago rap"
"Tobi","chill r&b"
"Tobi","pop"
"Tobi","pop rap"
"HugoTSR","french hip hop"
"HugoTSR","pop urbaine"
"HugoTSR","rap conscient"
"HugoTSR","rap francais"
"HugoTSR","rap inde"
"Dadju","francoton"
"Dadju","french hip hop"
"Dadju","french pop"
"Dadju","pop urbaine"
"EdSheeran","pop"
"EdSheeran","uk pop"
"Logic","conscious hip hop"
"Logic","dmv rap"
"Logic","hip hop"
"Logic","pop rap"
"Logic","rap"
"SalvatoreGanacci","basshall"
"SalvatoreGanacci","moombahton"
"Halsey","dance pop"
"Halsey","electropop"
"Halsey","etherpop"
"Halsey","indie poptimism"
"Halsey","pop"
"Halsey","post-teen pop"
"Anomalie","jazztronica"
"AllanTaylor","audiophile vocal"
"Moderat","alternative dance"
"Moderat","electronica"
"Moderat","microhouse"
"Moderat","minimal techno"
"Moderat","new rave"
"Gryffin","dance pop"
"Gryffin","edm"
"Gryffin","electro house"
"Gryffin","pop"
"Gryffin","pop dance"
"Gryffin","pop edm"
"Gryffin","tropical house"
"Metalocalypse:Dethklok","comic"
"Metalocalypse:Dethklok","comic metal"
"Thuna","afrofuturism"
"Thuna","hip hop"
"Thuna","indie soul"
"GabbyPahinui","hawaiian"
"GabbyPahinui","hula"
"GabbyPahinui","slack-key guitar"
"Mausio","tekk"
"BigBoi","Unknown"
"KOKOROKO","british jazz"
"KOKOROKO","indie jazz"
"KOKOROKO","indie soul"
"Dr.Fresch","bass house"
"Dr.Fresch","dark clubbing"
"Dr.Fresch","edm"
"Dr.Fresch","electro house"
"Dr.Fresch","electronic trap"
"SebastienV(BE)","Unknown"
"Vandaveer","stomp and holler"
"WyntonMarsalis","big band"
"WyntonMarsalis","classical trumpet"
"WyntonMarsalis","contemporary post-bop"
"WyntonMarsalis","cool jazz"
"WyntonMarsalis","hard bop"
"WyntonMarsalis","jazz"
"WyntonMarsalis","jazz trumpet"
"WyntonMarsalis","new orleans jazz"
"WyntonMarsalis","straight-ahead jazz"
"WyntonMarsalis","vocal jazz"
"BrennanHeart","classic hardstyle"
"BrennanHeart","euphoric hardstyle"
"BrennanHeart","rawstyle"
"AJR","modern rock"
"AJR","pop rap"
"DominicMiller","ecm-style jazz"
"DominicMiller","jazz guitar"
"Baauer","bass trap"
"Baauer","electro house"
"Baauer","electronic trap"
"Baauer","vapor twitch"
"Kölsch","Unknown"
"ArianaGrande","dance pop"
"ArianaGrande","pop"
"ArianaGrande","post-teen pop"
"Twista","chicago rap"
"Twista","dirty south rap"
"Twista","gangster rap"
"Twista","hip hop"
"Twista","pop rap"
"Twista","r&b"
"Twista","rap"
"Twista","trap"
"Twista","urban contemporary"
"KontraK","christlicher rap"
"KontraK","german hip hop"
"MickGordon","electronic djent"
"TonyRomera","bass house"
"TonyRomera","electro house"
"TonyRomera","gaming edm"
"Marshmello","brostep"
"Marshmello","edm"
"Marshmello","pop"
"Marshmello","pop dance"
"Marshmello","progressive electro house"
"BryceFox","indie poptimism"
"BryceFox","modern alternative rock"
"BryceFox","modern rock"
"BryceFox","rebel blues"
"Macklemore","pop rap"
"Macklemore","seattle hip hop"
"WeenaMorloch","medieval rock"
"WeenaMorloch","neue deutsche harte"
"ANNA","hollywood"
"ANNA","movie tunes"
"ANNA","show tunes"
"MCYankoo","turbo folk"
"FiveFingerDeathPunch","alternative metal"
"FiveFingerDeathPunch","groove metal"
"FiveFingerDeathPunch","nu metal"
"Jonwayne","alternative hip hop"
"Jonwayne","escape room"
"Jonwayne","wonky"
"DeathCabforCutie","indie pop"
"DeathCabforCutie","indie rock"
"DeathCabforCutie","modern rock"
"DeathCabforCutie","pop rock"
"DeathCabforCutie","washington indie"
"PopSmoke","brooklyn drill"
"Ninjaneers","Unknown"
"JohnBarry","adult standards"
"JohnBarry","british soundtrack"
"JohnBarry","classic soundtrack"
"JohnBarry","scorecore"
"JohnBarry","soundtrack"
"Deorro","dance pop"
"Deorro","edm"
"Deorro","electro house"
"Deorro","melbourne bounce"
"Deorro","melbourne bounce international"
"Deorro","pop dance"
"Deorro","progressive electro house"
"Deorro","tropical house"
"PatrickReza","la pop"
"Expulze","tekk"
"Isadora","pop nacional"
"Vulfpeck","ann arbor indie"
"Vulfpeck","funk rock"
"Vulfpeck","instrumental funk"
"Lizzo","dance pop"
"Lizzo","escape room"
"Lizzo","minnesota hip hop"
"Lizzo","pop"
"Lizzo","pop rap"
"Lizzo","post-teen pop"
"Lizzo","trap queen"
"GiorgioMoroder","disco"
"GiorgioMoroder","italian disco"
"TheAstonShuffle","australian dance"
"TheAstonShuffle","australian house"
"TheAstonShuffle","deep groove house"
"TheAstonShuffle","house"
